english,runyoro
The interviewer was going terribly until l mentioned my volunteer work- that changed everything.,Okukaguzibwa kukaba kutali kurungi okuhikya obunabalizeeho emirimu ei nakozire niiya-mba buyamba ekyahindwire buli kimu.
The interviewer will terribly go until l mentioned my volunteer work- that changed everything.,akaguza ebikaguzo bwangobwango naija okugenda okuhikya obunagambire omulimo gwange ogw'okuyamba- nikyo kyahindwire bulikimu
The interviewer has terribly gone until l mentioned my volunteer work- that changed everything.,akaguza ebikaguzo bwangobwango agenzire okuhikya obunagambire omulimo gwange ogw'okuhamba- nikyo kyahindwire bulikimu
The waterbuck ran into the river to escape the lion.,ensama ekairukira mu kisaaru kwesereka entale
The waterbuck will run into the river to escape the lion.,embante nija okwirukira omukisaru okwejuna entele
The waterbuck has run into the river to escape the lion.,embante irukire omukisaru okwejuna entale
She made a full recovery after the operation.,Akiiriire kimu hanyuma y'okumusemeza.
She will make a full recovery after the operation.,naija okukira kimu hanyuma y'okumusemeza
She has made a full recovery after the operation.,akirire kimu hanyuma y'okumusemeza
The city is developing a climate action plan to reduce its carbon footprint.,"Aborubuga orukooto, bataireho entekaniza n'enkora y'okukeehya orwooya orwebisoro biikya kugenda mumwaanya."
My family is my first community of faith-everything else flows from that.,Abekika kyange nibu bantu bange bokubanza munyikiriza-ebindi byoona birugirra aho.
My family was my first community of faith-everything else flows from that.,eka yange ekaba nyikiriza yange y'okubanza-ebisigaire bihondera hanyuma yekyo
My family will be my first community of faith-everything else flows from that.,eka yange nija okuba niyikiriza yange ey'okubanza -ebisigare bihondera hanyuma yekyo
My family has been my first community of faith-everything else flows from that.,eka yange ebaire nyikirza yange y'okubanzaba -ebisigaire bihondara hanyuma yekyo
The patient's kidney function has stabilized.,Omurwaire ensigoye etandikire kukora kurungi.
The patient's kidney function stabilizes.,ensigo z'omuraire nizikora zitaikaine
The patient's kidney function stabilized.,ensigo z'omuraire zikatekana
The patient's kidney function will stabilize.,ensigo z'omuraire nizija okutekana
I planted a garden this year-watching things grow feels like watching hope take root.,Nkabyara omusiri gunu omwaka-kusunga ebintu nibimera nikisisana kusunga kunihira nikutwaara emihama.
I will plant a garden this year-watching things grow feels like watching hope take root.,ninyija okubaira omusiri omwaka gunu- okurolera enbitu nibikura nikisana nsana okuhura okunihira nikutunga emihama
I have planted a garden this year-watching things grow feels like watching hope take root.,nbaire omusiri omwaka gunu- okurolera enbintu nibikura nsana okuhura okunihira nikutunga emihama
The economy will recover in the coming months.,obuguuda nibwija kugaruka buhyaka omu meezi agarukwiya
The economy recovers in the coming months.,ebyefuna nibija bitekana omwezi ogurukwija
The economy recovered in the coming months.,ebyenfuna bikatekana omwezi ogurukwija
The economy has recovered in the coming months.,ebyefuna bitekaine omwezi ogurukwija
The medication is contraindicated with certain heart conditions.,Omubazi nigutalibanizibwa omu barwaire abarukurwara obune.
The medication was contraindicated with certain heart conditions.,obujanjabi butaikiranganize n'ebera y'omutima
The medication will be contraindicated with certain heart conditions.,obujanjabi tiburukwija okwikiranganiza n'embera y'omutima
The medication has been contraindicated with certain heart conditions.,obujanjabi bubaire tiburukwinganiza n'embera y'omutima
The conservationists were conducting research on elephant communication when they made a breakthrough discovery.,Abalinzi bebitwehingulirize babaire nibaseruliriza ha kurubata kw'enjojo baatunga okuvumbura kwoonyini.
The conservationists conduct research on elephant communication when they made a breakthrough discovery.,abalinzi bakora okuseruliriza hali engeri enjojo zibaza obu batungire okugarukwamu
The conservationists will conduct research on elephant communication when they made a breakthrough discovery.,abalinzi nibaija okukora okuseruliriza hali engeri enjojo zibaza obu batungire okugarukwamu
The conservationists have conducted research on elephant communication when they made a breakthrough discovery.,"abalinzi bakozire okuseruliriza hali engeri enjojo zibazamu obu bantugire okugarukwa,mu"
The first sip of morning coffee is a small ritual I never skip.,Enguta y'okubanza eya caayi yanyenkyakara nigwo omugenzo oguke ogutagurukaga.
The first sip of morning coffee was a small ritual I never skip.,enguta eyokubanza eya caayi w'omwani gwali murwa omutaito oguntalyosaga
The first sip of morning coffee will be a small ritual I never skip.,enguta eyokubanza eya caayi w'omwani nigwija okuba omurwa omutaito ogutalyosaga
The first sip of morning coffee has been a small ritual I never skip.,enguta eyokubanza eya caayi w'omwani gubaire murwa omutaito ogutalyosaga
"If you're going through something hard, know that someone, somewhere, is praying for you.","Kakuba oyesanga omunyikara egumire, manya ngu haliyo omuntu hantu arukusabira."
"If you went through something hard, know that someone, somewhere, is praying for you.","kakuba oba warabire omukintu kigumangaine, manya ngu omuntu, ahantu, nibakusabira"
"If you will go through something hard, know that someone, somewhere, is praying for you.","kakuba noija okuraba omukintu kigumangaine, manya ngu omuntu, ahantu, nibakusabira"
"If you have gone through something hard, know that someone, somewhere, is praying for you.","kakuba oba orbire omukintu kigumangaine, manya ngu omuntu, ahantu, nibakusabira"
l'll always remember the moment l finally understood a concept l'd struggled with for months,buli bwirebwona nyijuka akasumi na yetegerrizemu ekintu ruksabe mazire akasumi kaingi obwire bwingi obwa ameezi nindengaho kukyetegereza kirembe
L always remembered the moment l finally understood a concept l'd struggled with for months,nyijuka bulikiro akasumi obunayetegerize isomo eryatabanizaga okumara emyezi
L will always remember the moment l finally understood a concept l'd struggled with for months,niyija okwijuka bulikiro akasumi nayetegerizemu isomo eryatabanizaga okumara emyezi
L has always remembered the moment l finally understood a concept l'd struggled with for months,mbaire bulikiro nyijuka akasumi nayetegerizemu isomo eryatabanizaga okumara emyezi
"Should you need anything, just let me know.",obworayetaaga ekintu kyona omwanyise
"Should you needed anything, just let me know.","kakuba oba oine ekyokwenda kyona, iwe ngamba"
"Should you will need anything, just let me know.","obwora oine ekintu kyona ekyorukwija kwetaga, iwe ngamba"
"Should you have needed anything, just let me know.","obworaba oine ekintu kyona ekyoyetagisize,iwe ngamba"
The new irrigation system will help farmers during the dry season.,omulingo omuhyaaka ogwokucungira maizi nigwija ruronyera abalimu mubwire buse kyanda
The new irrigation system helps farmers during the dry season.,enkora y'okusesira ebirimwa amaizi guyambaho abalimi omukasumi kekyanda
The new irrigation system helped farmers during the dry season.,enkora y'okusesira ebirimwa amaizi ekayamba abalimi omukasumi kekyanda
The new irrigation system has helped farmers during the dry season.,enkora y'okusesira ebirimwa amaizi gayambire abalimi omukasumi kekyanda
John Hanninng Speke reached the source of Nile in 1862.,John Hanninng Speke akahika handugirro eya Nile 1862.
John Hanninng Speke will reach the source of Nile in 1862.,john hanning speak naija okuhika hansiboko y'ekisaru kya nile omu 1862
John Hanninng Speke has reached the source of Nile in 1862.,john hanning speak ahikire hansibuko y'ekisaru kya nile omu 1862
"By 2030, we will have achieved a significant reduction in the loss of biodiversity.","Omumwaaka enkumi ibiri nasatu, nittwiija kuba tumazire kukeehya okwamaani hakusisikalirwa ebyobuhagwa."
She had been managing a team for years before she became director.,Abaire nayebembera akatebe kumara emyaka atakafokere karagiira omukuru
The new trade deal will boost agricultural exports.,Enkoragana yobusubuzi empyaka niija kumwikya ebitundwa aheeru eby'obulimi
He has invested in a real estate investment trust.,omusaija angire ensimbi omubyara ensimbi omubihanfanzi
The treatment is expensive but effective.,Omubazi gwa sente nyingi baitu nigukora.
My grandmother had been weaving baskets for the market for many years.,Kumara emyaka nyingi nyinenkuru nyowe aruka ebiibo eby'akatale.
Traditional music and dance accompained ceremonies.,Ebijaguzo byona byabamuga okuzina nokucekeca.
She had been working in the accounting department for years before she became CFO.,Omukazi abaire nakora omukikeeto kumara emyaka atakafokere mukuru w'ebyensimbi.
I buy groceries from the supermarket every week.,nyowe ngura ebintu omu duuka etakanizibwe buli wiiki
The hospital has a patient library with health information.,Irwarro line ekyahuro kyebitabu ebirukukwataho ebyobwomezi.
"By the end of this project, we will have trained one thousand farmers in organic methods.","Hakumaliirra kwenteekaniz'enu , nitwija kuba lwegeseze abalimi hamuringo y'orwezo kuruga mubijunzire."
You'll need to have your teeth cleaned twice a year.,Noija kweetagisibwa amaino gawe kwogebwa omu irwarro emirundi ebiiri omwaka.
The government is providing subsidies for farmers who practice sustainable agriculture.,Gavumenti eresire enkora y'okucwaaho emihendo y'ebintu habw'abalimi abarukukozesa ebyolimi ebirukwikaraho.
She had been learning about sustainable agriculture.,omukazi nayega kukozesa emirungo nigwija kuba nigukozesa ebyama ebirukumuga sira randi eko bikamanya empindurra hinduka nenyakuli orumwanya nomubwire
People are gathering at the chief's house for the meeting.,Omuka ey'omunyoro abantu nibesorooza habw'orukurato.
The new trade deal will boost exports.,omukago gwobusubuzi omuhyaka nugwija kwimukya ebyokutunda aheeru
The virus is circulating widely in the community.,Akahuka nikajanjara muno mubantu?
The farmer weeded his cassava field last week.,Omulimi akombera omusiri gwe ogwa muhogo sabiiti ehoire.
There's nothing worse than stepping in a puddle with socks on .,Busaho kintu ekibi nk'okurubata omu maizi ojwaire sokisi...
"My son asked me, ""Where is God?"" I pointed to my heart and his.","Mutabani wange akankaguza ""Ruhanga araha?"" namwoleka hamutima gwange nogwe."
"If school is making you miserable, consider whether there's another way.",obu lsomero liraaba nirikubuza obusinge tekerezaaho muno obuharaaba hasroho omulingo ogundi
The farmer harvested his sunflower and took it for pressing yesterday.,ljo omulimi akagesa ama candege agekijungu yagatwara rugasa
The crowd is cheering for the band to play one more song.,"Abasungi abaingi , basemereriirwe abateezi bebidongo basaba babongereyo ekizina ekindi."
We will bury our dead in the ground where our ancestors rest.,Nambere baisenkuru itwe abaira bahumuliire nuko turaziika abafu baitu.
I've learned to be grateful even in pain-it means I'm still alive to feel.,"Nkeega kusiima omubusalizi, eki kindagirra nkyali mwomezi."
Our clan has its own special way of welcoming the new year.,oruganda rwaitu rwina omulingo omutongole nkoku tutagiira omwaka omuhyaka .
The water scarcity has been affecting agricultural production in the region.,Ibura ly'amaizi likwasireho muno ebyobulimi mu kicweeka kyaito.
The earliest inhabitants were nomadic hunter-gatherers.,Abantu abalembwire ensi enu bakafuka-furukaga bahiigaga kandi basorooza ebyokulya.
The earliest inhabitants will be nomadic hunter-gatherers.,Abantu ababandize kwikara omukicheka eki nibaija kuba baliisa kandi bahigi bebyokulya.
The earliest inhabitants have been nomadic hunter-gatherers.,Abantu ababandize kwikara omukicheka eki bakaba bali baliisa kandi bahigi bebyokulya.
No sooner had she arrived than she had to leave.,Obwakaba nakyahika ati nokugenderaho.
No sooner has she arrived than she had to leave.,"Akahika, bwangu bwangu yaashemereire kugenda."
No sooner will have she arrived than she had to leave.,"Alika ahikire, alishemereire kugenda bwangu."
No sooner has had she arrived than she had to leave.,"Amahikireho kakye, yaahita agendaho."
The moment a student asks a question you've never considered is the best part of teaching.,"Akasumi ak'omweegi akagilizaamu EKIKAGUZO ekyobaire otarukhra, ako nuuko akasumi KONYINI akokwegesezaamu."
The moment a student asked a question you've never considered is the best part of teaching.,"Obwire omwegi yakagwize ekikaguuzo eki otakatekerezeho, nibwo burungi bw’okwegesa."
The moment a student will ask a question you've never considered is the best part of teaching.,"Obwire omwegi Alikaguza ekikaguuzo eki otakatekerezeho, nibwo burungi bw’okwegesa."
The moment a student has asked a question you've never considered is the best part of teaching.,"Obwire omwegi yakaguza ekikaguuzo eki otakatekerezeho, nibwo burungi bw’okwegesa."
The praise singer told the story of the founding of our village yesterday.,Ekiro ekyaijo omuzini azinirege nkonku ekyaro kyaitu kyatandikire.
The praise singer tells the story of the founding of our village yesterday.,Omuziini akateeekaniza ebyafaayo by’okutandikaho ekyaro kyaitu nyomwabazyo.
The praise singer will tell the story of the founding of our village yesterday.,Omuziini naija kuteeekaniza ebyafaayo by’okutandikaho ekyaro kyaitu nyomwabazyo.
The praise singer has told the story of the founding of our village yesterday.,Omurimbi w’ebitendo atebeekanise ebyafaayo by’okutandikaho ekyaro kyaitu nyomwabazyo.
I sold some shares to raise cash last week.,Nkatunda emigabo nukwo nyunge ezaburoho.
I sell some shares to raise cash last week.,Wiiki ehweire nintunda emu hamigabo nukwo ntunge sente.
I will sell some shares to raise cash last week.,Wiiki ehweire ninja kutunda emu hamigabo nukwo ntunge sente.
I have sold some shares to raise cash last week.,Wiiki ehweire nkatunda emu hamigabo nukwo ntunge sente.
How much alcohol do you drink per week?,Noonywa amaarwa agarukwinganaha buli sabbiti?
How much alcohol did you drink per week?,onywaa amaarwa gakwinganaki buli wiiki ?
How much alcohol will do you drink per week?,Noija kunywa amaarwa gakwinganaki buli wiiki ?
How much alcohol has done you drink per week?,onywaa amaarwa gakwingana ki buli wiiki ?
The birds migrate south every year to escape the cold winter.,Ebinyonyi bifuruka nibigenda habulyo mubwiire bw'omusana.
The birds south migrated every year to escape the cold winter.,Ebinyonyi Bikafurukira bugwaizoba buri mwaka kwetantara obutiti bw’obwire bw’embewo.
The birds will south migrate every year to escape the cold winter.,Ebinyonyi nibiija kufurukira bugwaizoba buri mwaka kwetantara obutiti bw’obwire bw’embewo.
The birds have south migrated every year to escape the cold winter.,Ebinyonyi Bikafurukira bugwaizoba buri mwaka kwetantara obutiti bw’obwire bw’embewo.
"The tornado destroyed the school, but fortunately no children were there at the time.",Omuyaga ogwamaani gukasiisa isomero kyonka enkyomugisa abaana bwirobu bakaba batarumu.
