english,runyoro
I paid my taxes on time yesterday.,ijo nkasasura obupangisa bwange
I will pay my taxes on time yesterday.,ninyi okusasura omusoro omubwire ijo
I have paid my taxes on time yesterday.,nsaswire omusoro omubwire ijo
Traditional religion included ancestor veneration.,Omurufikiriza enzarwa yabanuga okwaruya emizimu.
Traditional religion will include ancestor veneration.,enyikiriza y'obuhangwa nija okubamu bainsenkuru abebika
Traditional religion has included ancestor veneration.,enyikiriza y'obuhangwa ebairemu bainsekuru abebika
The praise singer told the story of the battle that saved the kingdom yesterday.,Ekiro ekyaijo omuzini atoridogoroire ebyabaire omubulemu obwajurure obukama.
The praise singer tells the story of the battle that saved the kingdom yesterday.,omuzini w'okutendereza agambire oruganikyo ry'orutaro orwajunire obukama ijo
The praise singer will tell the story of the battle that saved the kingdom yesterday.,omuzini w'okutendereza naija okugamba oruganikyo ry'orutara orwajunire obukama ijo
The praise singer has told the story of the battle that saved the kingdom yesterday.,omuzini w'okutendereza agambirege oruganikyo ry'orutaro orwajunire obukama ijo
We offer student discounts on software.,itwe tucweraho hali omwegi wobwongo bwa kalimagezi .
We offered student discounts on software.,tukaha okukehebwaho kw'emihendo hali abaana hali byakalimagezi
We will offer student discounts on software.,nitwija okuha okukehebwaho kwemihendo hali abaana abakalimagezi
We have offered student discounts on software.,tukaha abaana okukehebwaho kwemihendo hali abaana abakalimagezi
"If you've ever stayed up all night reading a book because you couldn't put it down, you know real learning.",Obworaba okaba orarairehonosoma ekitabu obwire bwoona obwekiro otabyamire ( OTAAIREHO ORUKOHI) nosemerra kuba nomanya OBUNUZI -bw'okwega.
"If you ever stayed up all night reading a book because you couldn't put it down, you know real learning.","kakuba wagumire norora ekiro kyona nosoma ekitabu habwokuba okaba otakukita hansi, nomanya okusoma kwenyini"
"If you will ever stay up all night reading a book because you couldn't put it down, you know real learning.","kakuba noija okumara ekiro kyona norora nosoma ekitabu habwokuba okaba otakukita hansi, nomanya okusoma kwenyini"
"If you have ever stayed up all night reading a book because you couldn't put it down, you know real learning.","kakuba omazire ekiro kyona norora nosoma ekitabu habwokuba okaba otakukita hansi, nomanya okusoma kwenyini"
The scientists were monitoring air quality when they detected dangerous levels of pollution.,abe bya sayansa babaire rubekebiya oburungi bworwoya obubamazi kwerenga orulengo rwakabi
The scientists monitor air quality when they detected dangerous levels of pollution.,abaseruzi bahondera embera y'omuyaga obubazora orulengo rw'akabi ry'okutokora
The scientists will monitor air quality when they detected dangerous levels of pollution.,abaserurizi nibaija okuhondera embera y'omuyaga obubazora orulengo rw'akabi ry'okutokora
The scientists have monitored air quality when they detected dangerous levels of pollution.,abaserurizi bahondire embera y'omuyaga obubazora orulengo rw'akabi ry'okutokora
He reported seeing a strange light.,Akabagambira nkoku yarozire ekyererezi kyembaganiza.
He saw a strange light.,akarora ekyererezi ekyatakaroraga
He will see a strange light.,naija okurora ekyererezi ekyatakaroraga
He has seen a strange light.,arozire ekyererezi ekyatakaroraga
How did you injure your knee?,Okehutaaza ota ha kuju?
How will do you injure your knee?,okuju kwawe noija okukuhutaza ota?
How has done you injure your knee?,okuju kwawe kuhutairege ota?
My cousin had been learning the secret language of the healers.,Owaise nyowe abaire nayega orulimi orwensita orwabafumu.
My cousin learns the secret language of the healers.,omwaana wa isento nyowe ayegere orulimi orwensita orw'abakiza
My cousin will learn the secret language of the healers.,omwaana wa isento nyowe naija okwega orulimi rwensita orw'abakiza
My cousin has learned the secret language of the healers.,omwaana wa isento nyowe ayegere orulimi orwensita orw'abakiza
My favorite part of any celebration is the moment when everyone finally sits down together.,Ekingonza muno mumikoro ekicweka kyabuli omu kumalirra aikahire hansi hamu.
My favorite part of any celebration was the moment when everyone finally sits down together.,ekicweka ekikyasingireyo okunyumira omukujaguza kwona kali akasumi nambere buliomu aikara hansi bonahamu
My favorite part of any celebration will be the moment when everyone finally sits down together.,ekicweka ekikyasingireyo okunyumira omukijaguzo kyona nikija okuba akasumi nambere buliomu yaikalire hansi bonahamu
My favorite part of any celebration has been the moment when everyone finally sits down together.,ekicweka ekikyasingireyo okunyumira omukijaguzo kyona kibaire akasumi nambere buliomu wena yaikalire hansi bonahamu
We light a candle for our ancestors and tell their stories to our children.,Tuhemba emisimao kwijuka baisenkuru itwe kandi tugambira abaana baitu ebikubakwataho.
We lit a candle for our ancestors and tell their stories to our children.,tukahemba kando habwa baisenkuru itwe kandi tugabere enganikyo zabo hali abaana baitu
We will light a candle for our ancestors and tell their stories to our children.,nitwija okuhemba kando hali baisenkurur baitu kandi tugambire enganikyo zabo hali abaana baitu
We have lighted a candle for our ancestors and tell their stories to our children.,tuhembere kando hali bainsekuru baitu kandi tugambire enganikyo zabo hali abaana baitu
We will celebrate the harvest with a feast that includes all the food we have grown.,Itwe nitwiija okujaguza amagesa nibuyenyi oburumu ebyokulya byona ebitulimire.
We celebrate the harvest with a feast that includes all the food we have grown.,tukajaguza amagesa n'ekihuro ekikaba kirumu ebyokulya bwona ebitwalimire
We celebrated the harvest with a feast that includes all the food we have grown.,tujaguza amagesa n'ekihuro ekiba kirumu ebyokulya byona ebitwalimire
We have celebrated the harvest with a feast that includes all the food we have grown.,tujagwize amagesa n'ekihuro ekikaba kirumu ebyokulya byona ebitwalimire
The jaguar climbed the tree and waited for its prey below.,engo rwa america akatemba omuli yalindiirra ekyokulya kiyaa hansi
The jaguar will climb the tree and waited for its prey below.,ekisuzi nikija okutemba omuti kandi kirinde ebyokulya hansi
The jaguar has climbed the tree and waited for its prey below.,ekisuzi kitembere omuti kandi kirinzire ebyokulya hansi
"The tsunami struck the coastline without warning , causing massive destruction.","Ebigonzi ebyaleesirwe omusisa ,nekiirro kyahansi y'enyanja bikateera hamyeegeko y'enyanja byaleeta kusisikalirwa kwingi muna."
"The tsunami struck the coastline without warning, causing massive destruction.","ebigonzi bikatera omusa gwenyanja gutabandi okutera omuranga, bikaletaho okusisa okwamani"
"The tsunami will strike the coastline without warning, causing massive destruction.","ebigonzi nigwija okutera omusa gwenyanja gutabandi okutera omuranga, bikaletaho okusisa okwamani"
"The tsunami has struck the coastline without warning, causing massive destruction.",ebigonzi bitire omusa gwe enyanja gutabandize okutera omuranga
Archaelogical evidence shows trade connections with the coast.,Okuseruruza okwomwitaka nukuragirra hakaba haroho okusuburra okuruga hamwaro omukooto.
Archaelogical evidenced shows trade connections with the coast.,oburorwaho by'ebikaro ebyakara bwoleka okukwatagana n'obusubuzi na hamwara
Archaelogical will evidence shows trade connections with the coast.,oburorwaho by'ebikaro ebyakara nibija okwoleka enkoragana nahamusa gwenyanja
Archaelogical has evidenced shows trade connections with the coast.,oburorwaho by'ebikaro ebyakara byolekere enkoragana nahamusa gwenyanja
Herbal medicine is widely used alongside modern medicine.,Emibazi eyebisaka nekyakozesibwa hamu emibazi eyebrow binu.
Herbal medicine was widely alongside used modern medicine.,emibazi yebisaka lyali nirikora muno okukira emibazi eyahati
Herbal medicine will widely alongside be used modern medicine.,emibazi yebisaka nija okukora muno okukira emibazi eyahati
Herbal medicine has widely alongside been used modern medicine.,emibazi yebisaka ebaire nekora muno okusinga emibazi eyahati
The British used military force to subdue resistance in Bunyoro.,Bungereza ekakozesa amaani maingi okumaraho obutigi omubunyoro.
The British will use military force to subdue resistance in Bunyoro.,abajungu nibaija okukozesa ekitebe n'amani gamahe okumaraho obuhakani omu bunyoro
The British has used military force to subdue resistance in Bunyoro.,abajungu bakozeseze ekitebe n'amani gamahe okumaraho obuhakani omu bunyoro
The outbreak originated in a wet market.,Oburwaire bukatandikira omu katale akarukutundirwamu ebyokulya ebibisi.
The outbreak will originate in a wet market.,okucwekaho nikwija okurugira omubugwa izoba byakatale
The outbreak has originated in a wet market.,okucwekaho kurugirire omubugwa izoba byakatale
I used to be afraid of God-now I rest in God's love.,Ira natinaga Ruhanga baitu hati mpumurra omungonzize.
I will use to be afraid of God-now I rest in God's love.,ninja kuba nintina ruhanga- hati mpumura omungozi zaruhanga
I have used to be afraid of God-now I rest in God's love.,mbaire nintina ruhanga - hati mpumura omungozi zaruhanga
I need you to be honest with me.,ningozab ombere wamanaru
I needed you to be honest with me.,ngondezege iwe obe wamazima hali nyowe
I will need you to be honest with me.,nija kwenda iwe obe wamazima hali nyowe
I have needed you to be honest with me.,nyikaire ninyenda iwe obe wamazima hali nyowe
I've seen miracles of healing that medicine could'nt explain.,"Nkarora ebirukuhuniriza omukusaba okwokukizas,emibazi ekyetarukusaborra."
I saw miracles of healing that medicine could'nt explain.,ndozirege ebyamahano by'okukiza omubazi ogu gutasobara okusoborra
I will see miracles of healing that medicine could'nt explain.,ninyija okurora ebyamahano by'okukiza omubazi ogu gutasobora okusoborra
I have seen miracles of healing that medicine could'nt explain.,ndozire ebyamahano byokukiza omubazi ogu gutasobora okusoborra
