english,runyoro
You'll need to apply the cream to the rash twice daily.,Noija kwetaagisa kwesiigaho omubazi nambere hali akahere emirundi ebiri buli kiro.
You will need to apply the cream to the rash twice daily.,noija okwetagisibya okutekaho ebizigo nambere hamomere emirundi ebiri bulikiro
You have needed to apply the cream to the rash twice daily.,okaire oyetagisibwe okutekaho ebizigo namberehamomere emirundi ebiri bulikiro
The emu ran across the field with its long neck stretched out.,ekinyonhyi rugoro kikairuka kyacwanganiza ekisaka nebikya byaakyo kibirahiriize
The emu runs across the field with its long neck stretched out.,emu iruka okwetorora ekizaniro n'ebikya byayo ebiraihize
The emu will run across the field with its long neck stretched out.,emu nija okwiruka okwetorora ekizaniro n'ebikya byayo ebiraihize
The emu has run across the field with its long neck stretched out.,emu irukire ekwetorora ekizaniro m'ebikya byayo ebiraihize
He expressed interest in joining the club.,akamanyisa nkoku arukwetaaga kutaha mukitebe
He will express interest in joining the club.,naija okwoleka okugonza okutaha ekitebe
He has expressed interest in joining the club.,ayolekeze okugonza okutaha ekitebe
The coffee has been shade-grown under banana trees.,omwani gulinurwe hansi yebituuru bye ebitooke
The coffee is shade-grown under banana trees.,omwani kituru hansi y'ebitoke
The coffee was shade-grown under banana trees.,omwani gukaba kituru hansi y'ebitoke
The coffee will be shade-grown under banana trees.,omwani nigwija okuba kituru hansi y'ebitoke
She is always losing her keys.,bulikasumi abulirirwa ebisumuzobye
She always lost her keys.,akizire okubuza ebisumuruzobye
She will always lose her keys.,naija okubuza ebisumuruzobye
She has always lost her keys.,abuza ebisumuruzobye
I check the stock prices every morning.,Buli nyenkyakara ndora ha mihendo y'ebintu
I checked the stock prices every morning.,nkakebera emihendo y'ebintu buli nyenkyakara
I will check the stock prices every morning.,ninyija okukebera emihendo yebintu buli nyenkyakara
I have checked the stock prices every morning.,nkebire emihendo y'ebintu buli nyenkyakara
"The first time l saw the ocean , l was completely speechless.","Omurundi gw'okubanza obu nakozire enyanja eyetahwayo , ebyokubaza bikamburraaho."
"The first time l saw the ocean, l was completely speechless.","omurundi gwonkubanza okurora enyanja, nkaburwa ebigambo"
"The first time l will see the ocean, l was completely speechless.","omurundu gwokubanza obundirora enyanja, ninyija okuburwa ebigambo"
"The first time l has seen the ocean, l was completely speechless.","omurundi gwokubanza obunaboine enyaja, nkaburwa ebigambo"
We ask the spirits to guide us before we make important choices.,Tutakacwiremu ekyokukora itwe tusaba emizimu eturagirre.
We asked the spirits to guide us before we make important choices.,tukasaba omwoyo atwebembere tutakakozire ekwamu ey'omugaso
We will ask the spirits to guide us before we make important choices.,nitwija okusaba omwyo atwebembere tutakakozire ekwamu ey'omugaso
We have asked the spirits to guide us before we make important choices.,tusabire omwoyo atwebembere tutakakozire ekwamu ey'omugaso
He has accumulated a portfolio of dividend stocks.,Omusaija asoroize omuganda ogwa embaagwa
He accumulates a portfolio of dividend stocks.,ayongize emirimoye yona hamu habwe ebintubwe ebicwirwemu
He accumulated a portfolio of dividend stocks.,ayongizeho emirimoye yona hamu habwe ebintubwe ebicwirwemu
He will accumulate a portfolio of dividend stocks.,naija okwongeze emirimoye yona habwe ebintubwe ebicwirwemu
The earth works demostrate sophisticated engineering.,Emirimo enyakozirwe haitaka neragirra amagezi maingi nobuginga.
The earth demostrate worked sophisticated engineering.,ensi eyoleka obukugu obwekika kyahaiguru omumirimo
The earth will demostrate work sophisticated engineering.,ensi nija okwoleka obukugu obwekika kyahaiguru omumirimo
The earth has demostrate worked sophisticated engineering.,ensi eyolekeze obukugu bwekika kyahaguru omumirimo
"If you're in the middle of a hard chapter , keep reading - it's not the end of the story.","Obworaaba oli hagatinahageti yeki cweka ekigumangaine , lkara nosoma tukuli kumahira kworuganikyo."
"If you was in the middle of a hard chapter, keep reading - it's not the end of the story.","kakuba wali omuhagati y'orukara orugumire, gumizamu n'osoma- tiniho hakumalira y'oruganikyo"
"If you will be in the middle of a hard chapter, keep reading - it's not the end of the story.","kakuba noija kuba omuhagati y'orukara orugumire, gumizamu n'osoma - tiniho hakumalira y'oruganikyo"
"If you have been in the middle of a hard chapter, keep reading - it's not the end of the story.","kakuba obaire okyali omuhagati y'orukara orugumire, gumizamu n'osoma -tiniho hakumalira y'oruganikyo"
He kept on working despite the noise.,akaikara nakora nobuhabaire haloho etoko
He will keep on working despite the noise.,naija okugumizamu nakora nobuhabaireyo etoko
He has kept on working despite the noise.,agumizemu nakora nobukiraba haliyo etoko
How about watching a movie tonight?,kiri kita kusunga omuzano kiro kinu
How about watched a movie tonight?,orora ota kasinga turoramu muvi kirokinu
How about will watch a movie tonight?,orora ota kasinga twija okuroramu muvi kirokinu
How about has watched a movie tonight?,orora ota kasinga turora muvi kirokinu
"If you've ever learned a new language , you know the thrill of your first real conservation.",ningumya kurungi randi mimanya omuhimbo ogwomuntu agira obwaba ayegere orulimi oruhyaka obwaba mabaza namukama worulimi
"If you ever learned a new language, you know the thrill of your first real conservation.","kakuba wali oyegereho orulimi oruhyaka, nomanya omuniniro ry'orubazo rwonkubaza"
